colorname,hex,rgb,bgClass
aliceblue,#F0F8FF,"240,248,255",ab-bg
antiquewhite,#FAEBD7,"250,235,215",aw-bg
aqua,#00FFFF,"0,255,255",aq-bg
aquamarine,#7FFFD4,"127,255,212",am-bg
azure,#F0FFFF,"240,255,255",az-bg
beige,#F5F5DC,"245,245,220",be-bg
bisque,#FFE4C4,"255,228,196",bi-bg
black,#000000,"0,0,0",k-bg
blanchedalmond,#FFEBCD,"255,235,205",ba-bg
blue,#0000FF,"0,0,255",b-bg
blueviolet,#8A2BE2,"138,43,226",bv-bg
brown,#A52A2A,"165,42,42",bn-bg
burlywood,#DEB887,"222,184,135",bw-bg
cadetblue,#5F9EA0,"95,158,160",cb-bg
chartreuse,#7FFF00,"127,255,0",ca-bg
chocolate,#D2691E,"210,105,30",ch-bg
coral,#FF7F50,"255,127,80",co-bg
cornflowerblue,#6495ED,"100,149,237",cf-bg
cornsilk,#FFF8DC,"255,248,220",cs-bg
crimson,#DC143C,"220,20,60",cr-bg
cyan,#00FFFF,"0,255,255",c-bg
darkblue,#00008B,"0,0,139",db-bg
darkcyan,#008B8B,"0,139,139",dc-bg
darkgoldenrod,#B8860B,"184,134,11",dgr-bg
darkgray,#A9A9A9,"169,169,169",de-bg
darkgreen,#006400,"0,100,0",dg-bg
darkkhaki,#BDB76B,"189,183,107",dk-bg
darkmagenta,#8B008B,"139,0,139",dm-bg
darkolivegreen,#556B2F,"85,107,47",dog-bg
darkorange,#FF8C00,"255,140,0",do-bg
darkorchid,#9932CC,"153,50,204",dh-bg
darkred,#8B0000,"139,0,0",dr-bg
darksalmon,#E9967A,"233,150,122",ds-bg
darkseagreen,#8FBC8F,"143,188,143",dsg-bg
darkslateblue,#483D8B,"72,61,139",dsb-bg
darkslategray,#2F4F4F,"47,79,79",dse-bg
darkturquoise,#00CED1,"0,206,209",dt-bg
darkviolet,#9400D3,"148,0,211",dv-bg
deeppink,#FF1493,"255,20,147",dp-bg
deepskyblue,#00BFFF,"0,191,255",dyb-bg
dimgray,#696969,"105,105,105",di-bg
dodgerblue,#1E90FF,"30,144,255",dob-bg
firebrick,#B22222,"178,34,34",fb-bg
floralwhite,#FFFAF0,"255,250,240",fw-bg
forestgreen,#228B22,"34,139,34",fg-bg
fuchsia,#FF00FF,"255,0,255",fu-bg
gainsboro,#DCDCDC,"220,220,220",gb-bg
ghostwhite,#F8F8FF,"248,248,255",gw-bg
gold,#FFD700,"255,215,0",gd-bg
goldenrod,#DAA520,"218,165,32",gr-bg
gray,#808080,"128,128,128",ge-bg
green,#008000,"0,128,0",g-bg
greenyellow,#ADFF2F,"173,255,47",gy-bg
honeydew,#F0FFF0,"240,255,240",hd-bg
hotpink,#FF69B4,"255,105,180",hp-bg
indianred,#CD5C5C,"205,92,92",ir-bg
indigo,#4B0082,"75,0,130",ig-bg
ivory,#FFFFF0,"255,255,240",iv-bg
khaki,#F0E68C,"240,230,140",kh-bg
lavender,#E6E6FA,"230,230,250",lv-bg
lavenderblush,#FFF0F5,"255,240,245",lr-bg
lawngreen,#7CFC00,"124,252,0",ln-bg
lemonchiffon,#FFFACD,"255,250,205",lf-bg
lightblue,#ADD8E6,"173,216,230",lb-bg
lightcoral,#F08080,"240,128,128",la-bg
lightcyan,#E0FFFF,"224,255,255",lc-bg
lightgoldenrodyellow,#FAFAD2,"250,250,210",lgry-bg
lightgray,#D3D3D3,"211,211,211",le-bg
lightgreen,#90EE90,"144,238,144",lg-bg
lightpink,#FFB6C1,"255,182,193",lp-bg
lightsalmon,#FFA07A,"255,160,122",ls-bg
lightseagreen,#20B2AA,"32,178,170",lsg-bg
lightskyblue,#87CEFA,"135,206,250",lsb-bg
lightslategray,#778899,"119,136,153",lse-bg
lightsteelblue,#B0C4DE,"176,196,222",lsl-bg
lightyellow,#FFFFE0,"255,255,224",ly-bg
lime,#00FF00,"0,255,0",lm-bg
limegreen,#32CD32,"50,205,50",lmg-bg
linen,#FAF0E6,"250,240,230",li-bg
magenta,#FF00FF,"255,0,255",m-bg
maroon,#800000,"128,0,0",ma-bg
mediumaquamarine,#66CDAA,"102,205,170",mam-bg
mediumblue,#0000CD,"0,0,205",mb-bg
mediumorchid,#BA55D3,"186,85,211",mo-bg
mediumpurple,#9370DB,"147,112,219",mp-bg
mediumseagreen,#3CB371,"60,179,113",msg-bg
mediumslateblue,#7B68EE,"123,104,238",msb-bg
mediumspringgreen,#00FA9A,"0,250,154",mpg-bg
mediumturquoise,#48D1CC,"72,209,204",mt-bg
mediumvioletred,#C71585,"199,21,133",mvr-bg
midnightblue,#191970,"25,25,112",mib-bg
mintcream,#F5FFFA,"245,255,250",mc-bg
mistyrose,#FFE4E1,"255,228,225",mr-bg
moccasin,#FFE4B5,"255,228,181",mn-bg
navajowhite,#FFDEAD,"255,222,173",nw-bg
navy,#000080,"0,0,128",na-bg
oldlace,#FDF5E6,"253,245,230",ol-bg
olive,#808000,"128,128,0",oi-bg
olivedrab,#6B8E23,"107,142,35",od-bg
orange,#FFA500,"255,165,0",o-bg
orangered,#FF4500,"255,69,0",or-bg
orchid,#DA70D6,"218,112,214",oc-bg
palegoldenrod,#EEE8AA,"238,232,170",pgr-bg
palegreen,#98FB98,"152,251,152", pg-bg
paleturquoise,#AFEEEE,"175,238,238",pt-bg
palevioletred,#DB7093,"219,112,147",pvr-bg
papayawhip,#FFEFD5,"255,239,213",pw-bg
peachpuff,#FFDAB9,"255,218,185",pp-bg
peru,#CD853F,"205,133,63",pe-bg
pink,#FFC0CB,"255,192,203",pi-bg
plum,#DDA0DD,"221,160,221",pl-bg
powderblue,#B0E0E6,"176,224,230",pb-bg
purple,#800080,"128,0,128",pr-bg
red,#FF0000,"255,0,0",r-bg
rosybrown,#BC8F8F,"188,143,143",rr-bg
royalblue,#4169E1,"65,105,225",rb-bg
saddlebrown,#8B4513,"139,69,19",sd-bg
salmon,#FA8072,"250,128,114",sa-bg
sandybrown,#F4A460,"244,164,96",sw-bg
seagreen,#2E8B57,"46,139,87",sg-bg
seashell,#FFF5EE,"255,245,238",ss-bg
sienna,#A0522D,"160,82,45",sn-bg
silver,#C0C0C0,"192,192,192",si-bg
skyblue,#87CEEB,"135,206,235",sb-bg
slateblue,#6A5ACD,"106,90,205",sl-bg
slategray,#708090,"112,128,144",se-bg
snow,#FFFAFA,"255,250,250",so-bg
springgreen,#00FF7F,"0,255,127",sr-bg
steelblue,#4682B4,"70,130,180",su-bg
tan,#D2B48C,"210,180,140",ta-bg
teal,#008080,"0,128,128",te-bg
thistle,#D8BFD8,"216,191,216",th-bg
tomato,#FF6347,"255,99,71",to-bg
turquoise,#40E0D0,"64,224,208",tu-bg
violet,#EE82EE,"238,130,238",v-bg
wheat,#F5DEB3,"245,222,179",wh-bg
white,#FFFFFF,"255,255,255",w-bg
whitesmoke,#F5F5F5,"245,245,245",ws-bg
yellow,#FFFF00,"255,255,0",y-bg
yellowgreen,#9ACD32,"154,205,50",yg-bg
